,name,p_np,smile,ExactMass,CID,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,XLogP
0,Propanolol,1,[Cl].CC(C)NCC(O)COc1cccc2ccccc12,295.1339066,62882.0,257.0,0.0,3.0,3.0,
1,Terbutylchlorambucil,1,C(=O)(OC(C)(C)C)CCCc1ccc(cc1)N(CCCl)CCCl,359.1418845,83909.0,330.0,0.0,0.0,3.0,3.0
2,40730,1,c12c3c(N4CCN(C)CC4)c(F)cc1c(c(C(O)=O)cn2C(C)CO3)=O,361.14378429,4583.0,634.0,0.0,1.0,8.0,-0.4
3,24,1,C1CCN(CC1)Cc1cccc(c1)OCCCNC(=O)C,290.199428076,9971484.0,303.0,0.0,1.0,3.0,2.2
4,cloxacillin,1,Cc1onc(c2ccccc2Cl)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(O)=O,435.0655696,6098.0,722.0,0.0,2.0,7.0,2.4
5,cefoperazone,1,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(O)=O)CSc4nnnn4C)c5ccc(O)cc5)C(=O)C1=O,645.14240120,44187.0,1250.0,0.0,4.0,13.0,-0.7
6,rolitetracycline,1,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(/O)NCN5CCCC5)C1=O,-1,,,,,,
7,ondansetron,1,Cn1c2CCC(Cn3ccnc3C)C(=O)c2c4ccccc14,293.152812238,4595.0,440.0,0.0,0.0,2.0,2.3
8,diltiazem,1,COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O,414.16132849,39186.0,565.0,0.0,0.0,6.0,3.1
9,Amiloride,1,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,229.0478856,16231.0,279.0,0.0,4.0,5.0,-0.7
10,M2L-663581,0,OCC(C)(O)c1onc(c2ncn3c2CN(C)C(c4c3cccc4Cl)=O)n1,389.0890817,10091748.0,586.0,0.0,2.0,7.0,0.0
11,alovudine,1,CC1=CN([C@H]2C[C@H](F)[C@@H](CO)O2)C(=O)NC1=O,244.08593506,33039.0,385.0,0.0,2.0,5.0,-0.3
12,18,1,C(Cl)Cl,83.9533555,6344.0,2.0,0.0,0.0,0.0,1.5
13,24959,1,C1N(C(CC2CCCCC12)C(NC(C)(C)C)=O)CC(C(Cc1ccccc1)NC(C(NC(c1nc2c(cccc2)cc1)=O)CC(N)=O)=O)O,670.38426872,3579812.0,1140.0,0.0,5.0,7.0,4.2
14,methadone,1,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,309.209264485,4095.0,346.0,0.0,0.0,2.0,3.9
15,alfentanil,1,CCN1N=NN(CCN2CCC(CC2)(COC)N(C(=O)CC)c3ccccc3)C1=O,416.25358890,51263.0,614.0,0.0,0.0,6.0,2.2
16,BRL53080,1,CN(C)C(=O)C(CCN1CCC(O)(CC1)c1ccc(Cl)cc1)(c1ccccc1)c1ccccc1,476.2230560,3955.0,623.0,0.0,1.0,3.0,5.0
17,hyoscyamine,1,CN1C2CCC1CC(C2)OC(=O)[C@H](CO)c3ccccc3,289.16779360,64692.0,353.0,0.0,1.0,4.0,1.8
18,glyburide,1,COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)[S](=O)(=O)NC(=O)NC3CCCCC3,493.1438199,3488.0,746.0,0.0,3.0,5.0,4.8
19,lamotrigine,1,Nc1nnc(c(N)n1)c2cccc(Cl)c2Cl,255.0078506,3878.0,242.0,0.0,2.0,5.0,1.4
20,2-Methylpentane,1,CCCC(C)C,86.109550447,7892.0,21.0,0.0,0.0,0.0,3.2
21,Dexamfetamine,1,C[C@H](N)Cc1ccccc1,135.104799419,5826.0,84.0,0.0,1.0,1.0,1.8
22,SKF-93619,0,c1cc2c(cc(CC3=CNC(=NC3=O)NCCSCc3oc(cc3)CN(C)C)cc2)cc1,448.19329732,14022522.0,695.0,0.0,2.0,5.0,3.4
23,nadolol,1,CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12,309.19400834,39147.0,344.0,0.0,4.0,5.0,0.7
